Code,Updated name,E1,E2,E3,P,Total reports,FES,References
2192,Russula albonigra,5,0,0,0,5,E1,"(Gerhardt, 2001; Mao, 2000; Seok, Jin, Kwon, Kim, & Kim, 2013; Vasil'eva, 1978; Wu, et al., 2019)"
2193,Russula alutacea,9,0,1,0,10,E1,"(Cooke, 1891; Iordanov, Vanev, & Fakirova, 1978; Mao, 2000; Sergeeva, 2000; Vasil'eva, 1978; Villarreal & Perez-Moreno, 1989a; Wu, et al., 2019; Secretariat of Environment and Natural Resources, 2020; Zerova & Rozhenko, 1988)"
2194,Russula amaendum,1,0,0,0,1,E1,"(Sillitoe, 1995)"
2195,Russula amethystina,1,0,0,0,1,E1,"(Galli, 1996)"
2196,Russula amoena,3,0,0,0,3,E1,"(Park & Lee, 2011; Wu, et al., 2019; Yamada, 2002)"
2197,Russula amoenicolor,1,0,0,0,1,E1,"(Galli, 1996)"
2198,Russula anatina,1,0,0,0,1,E1,"(Jabeen, Khalid, & Dentinger, 2016; Wu, et al., 2019)"
2199,Russula anthracina,2,0,0,0,2,E1,"(Gerhardt, 2001)"
2200,Russula atroaeruginea,1,0,0,0,1,E1,"(Wu, et al., 2019)"
2201,Russula atroglauca,1,0,0,0,1,E1,"(Galli, 1996)"
2202,Russula atropurpurea,7,0,1,0,8,E1,"(Gerhardt, 2001; Liu & Yang, 1982; Mao, 2000; Sáenz, Lizano, & Nassar, 1983; Seok, Jin, Kwon, Kim, & Kim, 2013; Wu, et al., 2019; Yamada, 2002; Zerova & Rozhenko, 1988)"
2203,Russula atrovirens,1,0,0,0,1,E1,"(Rammeloo & Walleyn, 1993)"
2204,Russula aurea,9,0,1,0,10,E1,"(Gennari, 2000; Gerhardt, 2001; Hongo & Izawa, 1994; Mao, 2000; Podgornik, 2005; Reudillh, 2004; Vasil'eva, 1978; Wu, et al., 2019; Yamada, 2002; Zerova & Rozhenko, 1988)"
2205,Russula aurora,1,0,0,0,1,E1,"(Mao, 2000)"
2206,Russula azurea,3,0,0,0,3,E1,"(Gerhardt, 2001; Mao, 2000; Wu, et al., 2019)"
2207,Russula badia,0,0,1,0,1,E3,"(Zerova & Rozhenko, 1988)"
2208,Russula brevipes,5,0,0,0,5,E1,"(Arora, 1991; Secretariat of Environment and Natural Resources, 2020; Villarreal & Perez-Moreno, 1989a; Zamora-Martinez, Reygadas, & Cifuentes, 1994)"
2209,Russula brunneoviolacea,3,0,1,0,4,E1,"(Mao, 2000; Wang & Liu, 2002; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2210,Russula caerulea,3,0,1,0,4,E1,"(Gerhardt, 2001; Mao, 2000; Wu, et al., 2019; Zerova & Rozhenko, 1988)"
2211,Russula castanopsidis,1,0,1,0,2,E1,"(Seok, Jin, Kwon, Kim, & Kim, 2013)"
2212,Russula cellulata,6,0,0,0,6,E1,"(Boa, Ngulube, Meke, & Munthali, 2000; Buyck, 1994a; De-Kesel, Codjia, & Yorou, 2002; Degreef, Malaisse, Rammeloo, & Baudart, 1997; Härkönen, Niemelä, & Mwasumbi, 2003; Härkönen, Saarimäki, & Mwasumbi, 1994)"
2213,Russula chloroides,2,0,0,0,2,E1,"(Adhikari & Durrieu, 1996; Wu, et al., 2019)"
2214,Russula cicatricata,1,0,0,0,1,E1,"(Galli, 1996)"
2215,Russula ciliata,2,0,0,0,2,E1,"(De-Kesel, Kasongo, & Degreef, 2017; Härkönen, Saarimäki, & Mwasumbi, 1994)"
2216,Russula claroflava,4,0,1,0,5,E1,"(Gerhardt, 2001; Mao, 2000; Sergeeva, 2000; Vasil'eva, 1978; Zerova & Rozhenko, 1988)"
2217,Russula clavipes,1,0,0,0,1,E1,"(Consiglio & Papetti, 2009)"
